Path,Last commit date,Line,Matched phrase,Claim excerpt,Audit handling
.github/QUICK_REFERENCE.md,2025-12-10,64,pass,"grep -r ""api_key\|password\|secret"" lib/",Claim only — requires implementation/test evidence before verification
.github/QUICK_REFERENCE.md,2025-12-10,80,pass,### ✅ All Checks Passed,Claim only — requires implementation/test evidence before verification
.github/QUICK_REFERENCE.md,2025-12-10,83,pass,- All quality gates passed,Claim only — requires implementation/test evidence before verification
.github/QUICK_REFERENCE.md,2025-12-10,163,pass,- [ ] All tests pass: `flutter test`,Claim only — requires implementation/test evidence before verification
.github/QUICK_REFERENCE.md,2025-12-10,173,pass,- [ ] Quality gates pass locally,Claim only — requires implementation/test evidence before verification
.github/QUICK_REFERENCE.md,2025-12-10,180,pass,- [ ] All workflows pass,Claim only — requires implementation/test evidence before verification
.github/QUICK_REFERENCE.md,2025-12-10,181,complete,- [ ] Documentation is complete,Claim only — requires implementation/test evidence before verification
.github/QUICK_REFERENCE.md,2025-12-10,187,pass,### Bypass Quality Gates (Use Sparingly!),Claim only — requires implementation/test evidence before verification
.github/QUICK_REFERENCE.md,2025-12-10,195,pass,**How to bypass:**,Claim only — requires implementation/test evidence before verification
.github/SECRETS_SETUP_GUIDE.md,2026-01-02,40,pass,#### KEYSTORE_PASSWORD,Claim only — requires implementation/test evidence before verification
.github/SECRETS_SETUP_GUIDE.md,2026-01-02,47,pass,#### KEY_PASSWORD,Claim only — requires implementation/test evidence before verification
.github/SECRETS_SETUP_GUIDE.md,2026-01-02,52,pass,**القيمة:** كلمة مرور المفتاح (عادة نفس KEYSTORE_PASSWORD),Claim only — requires implementation/test evidence before verification
.github/SECRETS_SETUP_GUIDE.md,2026-01-02,128,pass,gh secret set KEYSTORE_PASSWORD,Claim only — requires implementation/test evidence before verification
.github/SECRETS_SETUP_GUIDE.md,2026-01-02,141,pass,- [ ] KEYSTORE_PASSWORD,Claim only — requires implementation/test evidence before verification
.github/SECRETS_SETUP_GUIDE.md,2026-01-02,142,pass,- [ ] KEY_PASSWORD,Claim only — requires implementation/test evidence before verification
.github/SECRETS_SETUP_GUIDE.md,2026-01-02,191,pass,"### خطأ: ""Wrong password""",Claim only — requires implementation/test evidence before verification
.github/SECRETS_SETUP_GUIDE.md,2026-01-02,195,pass,- تحقق من KEYSTORE_PASSWORD,Claim only — requires implementation/test evidence before verification
.github/SECRETS_SETUP_GUIDE.md,2026-01-02,196,pass,- تحقق من KEY_PASSWORD,Claim only — requires implementation/test evidence before verification
.kiro/BLUEPRINT_STATUS.md,2025-12-29,9,مكتمل,## 🎉 التفعيل مكتمل!,Claim only — requires implementation/test evidence before verification
.kiro/FINAL_STATUS.md,2025-12-29,6,جاهز للإنتاج; مكتمل,**الحالة:** ✅ مكتمل ومفعّل وجاهز للإنتاج,Claim only — requires implementation/test evidence before verification
.kiro/FINAL_STATUS.md,2025-12-29,18,100%,║ ✅ قابلة للتشغيل الكامل 100% ║,Claim only — requires implementation/test evidence before verification
.kiro/FINAL_STATUS.md,2025-12-29,56,100%,### 1. نظام الوكلاء (100% نشط),Claim only — requires implementation/test evidence before verification
.kiro/FINAL_STATUS.md,2025-12-29,77,100%,### 2. نظام القرار الآلي (100% نشط),Claim only — requires implementation/test evidence before verification
.kiro/FINAL_STATUS.md,2025-12-29,95,100%,### 3. نظام MLOps (100% نشط),Claim only — requires implementation/test evidence before verification
.kiro/FINAL_STATUS.md,2025-12-29,116,100%,### 4. نظام Analytics (100% نشط),Claim only — requires implementation/test evidence before verification
.kiro/FINAL_STATUS.md,2025-12-29,146,100%,### 5. نظام الأتمتة (100% نشط),Claim only — requires implementation/test evidence before verification
.kiro/FINAL_STATUS.md,2025-12-29,178,100%,### 6. نظام المعرفة (100% نشط),Claim only — requires implementation/test evidence before verification
.kiro/FINAL_STATUS.md,2025-12-29,198,100%,### 7. نظام المقاييس (100% نشط),Claim only — requires implementation/test evidence before verification
.kiro/FINAL_STATUS.md,2025-12-29,229,مكتمل,الحالة: ✅ مكتمل,Claim only — requires implementation/test evidence before verification
.kiro/FINAL_STATUS.md,2025-12-29,235,مكتمل,الحالة: ✅ مكتمل,Claim only — requires implementation/test evidence before verification
.kiro/FINAL_STATUS.md,2025-12-29,237,complete,3. TRANSFORMATION_COMPLETE.md (505 سطر),Claim only — requires implementation/test evidence before verification
.kiro/FINAL_STATUS.md,2025-12-29,241,مكتمل,الحالة: ✅ مكتمل,Claim only — requires implementation/test evidence before verification
.kiro/FINAL_STATUS.md,2025-12-29,247,مكتمل,الحالة: ✅ مكتمل,Claim only — requires implementation/test evidence before verification
.kiro/FINAL_STATUS.md,2025-12-29,259,مكتمل,الحالة: ✅ مكتمل,Claim only — requires implementation/test evidence before verification
.kiro/FINAL_STATUS.md,2025-12-29,265,مكتمل,الحالة: ✅ مكتمل,Claim only — requires implementation/test evidence before verification
.kiro/FINAL_STATUS.md,2025-12-29,271,مكتمل,الحالة: ✅ مكتمل,Claim only — requires implementation/test evidence before verification
.kiro/FINAL_STATUS.md,2025-12-29,277,مكتمل,الحالة: ✅ مكتمل,Claim only — requires implementation/test evidence before verification
.kiro/FINAL_STATUS.md,2025-12-29,327,مكتمل,- التوثيق: مكتمل ✅,Claim only — requires implementation/test evidence before verification
.kiro/FINAL_STATUS.md,2025-12-29,343,مكتمل,- التوثيق: مكتمل ✅,Claim only — requires implementation/test evidence before verification
.kiro/FINAL_STATUS.md,2025-12-29,354,100%,النتيجة: ✅ 100% نجاح,Claim only — requires implementation/test evidence before verification
.kiro/FINAL_STATUS.md,2025-12-29,437,complete,- TRANSFORMATION_COMPLETE.md: تقرير التحول,Claim only — requires implementation/test evidence before verification
.kiro/FINAL_STATUS.md,2025-12-29,510,مكتمل; 100%,║ ✅ التحول مكتمل 100% ║,Claim only — requires implementation/test evidence before verification
.kiro/FINAL_STATUS.md,2025-12-29,511,100%,║ ✅ الاختبار ناجح 100% ║,Claim only — requires implementation/test evidence before verification
.kiro/FINAL_STATUS.md,2025-12-29,512,100%,║ ✅ التوثيق شامل 100% ║,Claim only — requires implementation/test evidence before verification
.kiro/FINAL_STATUS.md,2025-12-29,534,جاهز للإنتاج; مكتمل,**الحالة:** ✅ مكتمل ومفعّل وجاهز للإنتاج 🚀,Claim only — requires implementation/test evidence before verification
.kiro/FINAL_STATUS.md,2025-12-29,543,complete,- [TRANSFORMATION_COMPLETE.md](TRANSFORMATION_COMPLETE.md) - تقرير التحول,Claim only — requires implementation/test evidence before verification
.kiro/README.md,2025-12-29,115,clean,13. **code-quality-standards.md** - معايير جودة الكود (SOLID + Clean Code),Claim only — requires implementation/test evidence before verification
.kiro/README.md,2025-12-29,179,مكتمل,"> ""كل عمل يجب أن يكون ناتجاً عن مواصفة واضحة ومكتملة وموافق عليها""",Claim only — requires implementation/test evidence before verification
.kiro/README.md,2025-12-29,419,100%,║ ✅ قابلة للتشغيل الكامل 100% ║,Claim only — requires implementation/test evidence before verification
.kiro/README.md,2025-12-29,437,100%,| Analytics | ✅ | 100% | وقت فعلي |,Claim only — requires implementation/test evidence before verification
.kiro/README.md,2025-12-29,440,100%,| المقاييس | ✅ | 100% | DORA + SPACE |,Claim only — requires implementation/test evidence before verification
.kiro/README.md,2025-12-29,484,جاهز للإنتاج,**الحالة:** ✅ نشط ومفعّل بالكامل - جاهز للإنتاج 🚀,Claim only — requires implementation/test evidence before verification
.kiro/backlog/technologies/cdk-best-practices.md,2025-12-12,46,pass,- SHOULD be passed concrete objects representing resources,Claim only — requires implementation/test evidence before verification
.kiro/backlog/technologies/docker-best-practices.md,2025-12-12,42,clean,- Clean up package manager caches,Claim only — requires implementation/test evidence before verification
.kiro/docs/README.md,2025-12-29,57,final,│ └── GIT_AND_DOCS_REORGANIZATION_FINAL_SUMMARY.md,Claim only — requires implementation/test evidence before verification
.kiro/docs/README.md,2025-12-29,108,مكتمل,- الحالة: ✅ مكتمل,Claim only — requires implementation/test evidence before verification
.kiro/docs/README.md,2025-12-29,126,complete; clean,- `GIT_CLEANUP_EXECUTION_COMPLETE.md` - تقرير تنفيذ التنظيف,Claim only — requires implementation/test evidence before verification
.kiro/docs/README.md,2025-12-29,127,clean,- `GIT_CLEANUP_QUICK_SUMMARY.md` - ملخص سريع للتنظيف,Claim only — requires implementation/test evidence before verification
.kiro/docs/README.md,2025-12-29,130,clean,- `GIT_REPOSITORY_CLEANUP_REPORT.md` - تقرير تنظيف Repository,Claim only — requires implementation/test evidence before verification
.kiro/docs/README.md,2025-12-29,139,مكتمل,- `SCRIPTS_TESTING_PROGRESS.md` - تقرير التقدم المستمر (8/8 مكتمل),Claim only — requires implementation/test evidence before verification
.kiro/docs/README.md,2025-12-29,140,final,- `SCRIPTS_TESTING_FINAL_SUMMARY.md` - التقرير النهائي الشامل (9.4/10),Claim only — requires implementation/test evidence before verification
.kiro/docs/README.md,2025-12-29,168,final,- `INTEGRATION_FINAL_REPORT.md` - التقرير النهائي,Claim only — requires implementation/test evidence before verification
.kiro/docs/README.md,2025-12-29,170,complete,- `COMPLETE_INTEGRATION_SUMMARY.md` - الملخص الكامل,Claim only — requires implementation/test evidence before verification
.kiro/docs/README.md,2025-12-29,178,final,- `PHASE_1_2_FINAL_REPORT.md` - المرحلتان 1 و 2,Claim only — requires implementation/test evidence before verification
.kiro/docs/README.md,2025-12-29,190,final,- `SESSION_4_FINAL_COMPLETION_SUMMARY.md` - الجلسة 4,Claim only — requires implementation/test evidence before verification
.kiro/docs/README.md,2025-12-29,199,complete,- `ALL_ENHANCEMENTS_COMPLETE.md` - جميع التحسينات,Claim only — requires implementation/test evidence before verification
.kiro/docs/README.md,2025-12-29,200,final,- `FINAL_ENHANCEMENTS_SUMMARY.md` - الملخص النهائي,Claim only — requires implementation/test evidence before verification
.kiro/docs/README.md,2025-12-29,213,final,- `FINAL_STATUS.md` - الحالة النهائية,Claim only — requires implementation/test evidence before verification
.kiro/docs/README.md,2025-12-29,214,final,- `FINAL_SUMMARY.md` - الملخص النهائي,Claim only — requires implementation/test evidence before verification
.kiro/docs/README.md,2025-12-29,352,final,[COMPONENT]_TESTING_FINAL_SUMMARY.md,Claim only — requires implementation/test evidence before verification
.kiro/docs/README.md,2025-12-29,442,final,راجع التقرير في: `.kiro/docs/reports/SCRIPTS_TESTING_FINAL_SUMMARY.md`,Claim only — requires implementation/test evidence before verification
.kiro/docs/analysis/BEST_REPOSITORIES_AND_TEMPLATES_ANALYSIS.md,2025-12-15,6,مكتمل,**الحالة:** ✅ تحليل شامل مكتمل,Claim only — requires implementation/test evidence before verification
.kiro/docs/analysis/BEST_REPOSITORIES_AND_TEMPLATES_ANALYSIS.md,2025-12-15,147,clean,│ ├── clean-architecture/,Claim only — requires implementation/test evidence before verification
.kiro/docs/analysis/BEST_REPOSITORIES_AND_TEMPLATES_ANALYSIS.md,2025-12-15,412,مكتمل,- ✅ بيئة تطوير ذكية مكتملة,Claim only — requires implementation/test evidence before verification
.kiro/docs/analysis/COMPREHENSIVE_KIRO_ANALYSIS_AND_ENHANCEMENT_PLAN.md,2025-12-15,6,مكتمل,**الحالة:** ✅ تحليل شامل مكتمل - خطة تطوير متقدمة,Claim only — requires implementation/test evidence before verification
.kiro/docs/analysis/COMPREHENSIVE_KIRO_ANALYSIS_AND_ENHANCEMENT_PLAN.md,2025-12-15,15,جاهز للإنتاج,**الحالة:** جاهز للإنتاج مع إمكانيات تطوير هائلة,Claim only — requires implementation/test evidence before verification
.kiro/docs/analysis/COMPREHENSIVE_KIRO_ANALYSIS_AND_ENHANCEMENT_PLAN.md,2025-12-15,41,مكتمل,### 2. التحليلات المكتملة,Claim only — requires implementation/test evidence before verification
.kiro/docs/analysis/COMPREHENSIVE_KIRO_ANALYSIS_AND_ENHANCEMENT_PLAN.md,2025-12-15,46,مكتمل,- **التكامل:** مكتمل في prompts/ v2.0,Claim only — requires implementation/test evidence before verification
.kiro/docs/analysis/COMPREHENSIVE_KIRO_ANALYSIS_AND_ENHANCEMENT_PLAN.md,2025-12-15,106,clean,kiro git smart-cleanup # تنظيف ذكي للفروع,Claim only — requires implementation/test evidence before verification
.kiro/docs/analysis/COMPREHENSIVE_KIRO_ANALYSIS_AND_ENHANCEMENT_PLAN.md,2025-12-15,117,clean,kiro project cleanup # تنظيف المشروع,Claim only — requires implementation/test evidence before verification
.kiro/docs/analysis/COMPREHENSIVE_KIRO_ANALYSIS_AND_ENHANCEMENT_PLAN.md,2025-12-15,174,complete,│ ├── feature-complete/ # سير عمل الميزة الكاملة,Claim only — requires implementation/test evidence before verification
.kiro/docs/analysis/COMPREHENSIVE_KIRO_ANALYSIS_AND_ENHANCEMENT_PLAN.md,2025-12-15,190,clean,│ ├── cleanup/ # التنظيف,Claim only — requires implementation/test evidence before verification
.kiro/docs/analysis/COMPREHENSIVE_KIRO_ANALYSIS_AND_ENHANCEMENT_PLAN.md,2025-12-15,304,clean,│ ├── clean-architecture/ # المعمارية النظيفة,Claim only — requires implementation/test evidence before verification
.kiro/docs/analysis/COMPREHENSIVE_KIRO_ANALYSIS_AND_ENHANCEMENT_PLAN.md,2025-12-15,644,مكتمل,2. **تحليل شامل مكتمل** - فهم عميق للاحتياجات والفرص,Claim only — requires implementation/test evidence before verification
.kiro/docs/analysis/COMPREHENSIVE_SPECS_ANALYSIS.md,2025-12-15,14,مكتمل,- **المكتملة:** 1 مواصفة (git-repository-optimization ✅),Claim only — requires implementation/test evidence before verification
.kiro/docs/analysis/COMPREHENSIVE_SPECS_ANALYSIS.md,2025-12-15,29,مكتمل,### ✅ المواصفات المكتملة (1),Claim only — requires implementation/test evidence before verification
.kiro/docs/analysis/COMPREHENSIVE_SPECS_ANALYSIS.md,2025-12-15,31,complete; completed,#### 1. repository-optimization/git-repository-optimization-completed,Claim only — requires implementation/test evidence before verification
.kiro/docs/analysis/COMPREHENSIVE_SPECS_ANALYSIS.md,2025-12-15,33,مكتمل; 100%,- **الحالة:** ✅ مكتمل 100%,Claim only — requires implementation/test evidence before verification
.kiro/docs/analysis/COMPREHENSIVE_SPECS_ANALYSIS.md,2025-12-15,35,100%,- حل مشكلة Git Push (100% نجاح),Claim only — requires implementation/test evidence before verification
.kiro/docs/analysis/COMPREHENSIVE_SPECS_ANALYSIS.md,2025-12-15,68,مكتمل,- **التقدم:** 60% مكتمل,Claim only — requires implementation/test evidence before verification
.kiro/docs/analysis/COMPREHENSIVE_SPECS_ANALYSIS.md,2025-12-15,75,مكتمل,- **التقدم:** 40% مكتمل,Claim only — requires implementation/test evidence before verification
.kiro/docs/analysis/COMPREHENSIVE_SPECS_ANALYSIS.md,2025-12-15,82,مكتمل,- **التقدم:** 70% مكتمل,Claim only — requires implementation/test evidence before verification
.kiro/docs/analysis/COMPREHENSIVE_SPECS_ANALYSIS.md,2025-12-15,93,مكتمل,- **التقدم:** 80% مكتمل,Claim only — requires implementation/test evidence before verification
.kiro/docs/analysis/COMPREHENSIVE_SPECS_ANALYSIS.md,2025-12-15,100,مكتمل,- **التقدم:** 90% مكتمل,Claim only — requires implementation/test evidence before verification
.kiro/docs/analysis/COMPREHENSIVE_SPECS_ANALYSIS.md,2025-12-15,107,مكتمل,- **التقدم:** 30% مكتمل,Claim only — requires implementation/test evidence before verification
.kiro/docs/analysis/COMPREHENSIVE_SPECS_ANALYSIS.md,2025-12-15,114,مكتمل,- **التقدم:** 20% مكتمل,Claim only — requires implementation/test evidence before verification
.kiro/docs/analysis/COMPREHENSIVE_SPECS_ANALYSIS.md,2025-12-15,125,مكتمل,- **التقدم:** 10% مكتمل,Claim only — requires implementation/test evidence before verification
.kiro/docs/analysis/COMPREHENSIVE_SPECS_ANALYSIS.md,2025-12-15,132,مكتمل,- **التقدم:** 50% مكتمل,Claim only — requires implementation/test evidence before verification
.kiro/docs/analysis/COMPREHENSIVE_SPECS_ANALYSIS.md,2025-12-15,139,مكتمل,- **التقدم:** 25% مكتمل,Claim only — requires implementation/test evidence before verification
.kiro/docs/analysis/COMPREHENSIVE_SPECS_ANALYSIS.md,2025-12-15,148,مكتمل,- **الموعد النهائي:** مكتمل,Claim only — requires implementation/test evidence before verification
.kiro/docs/analysis/COMPREHENSIVE_SPECS_ANALYSIS.md,2025-12-15,190,100%,| Feature Completion | 52% | 100% | 48% | ⚡ عالية |,Claim only — requires implementation/test evidence before verification
.kiro/docs/analysis/COMPREHENSIVE_SPECS_ANALYSIS.md,2025-12-15,239,مكتمل,- **مواصفة واحدة مكتملة** بامتياز,Claim only — requires implementation/test evidence before verification
.kiro/docs/analysis/COMPREHENSIVE_SPECS_ANALYSIS.md,2025-12-15,254,مكتمل,**الحالة:** ✅ تحليل شامل مكتمل,Claim only — requires implementation/test evidence before verification
.kiro/docs/analysis/PROFESSIONAL_KIRO_REFERENCES_ANALYSIS.md,2026-01-02,35,100%,- **الموثوقية:** 100% (رسمي),Claim only — requires implementation/test evidence before verification
.kiro/docs/analysis/PROFESSIONAL_KIRO_REFERENCES_ANALYSIS.md,2026-01-02,60,100%,- **الموثوقية:** 100% (رسمي),Claim only — requires implementation/test evidence before verification
.kiro/docs/analysis/PROFESSIONAL_KIRO_REFERENCES_ANALYSIS.md,2026-01-02,77,100%,- **الموثوقية:** 100% (رسمي),Claim only — requires implementation/test evidence before verification
.kiro/docs/analysis/PROFESSIONAL_KIRO_REFERENCES_ANALYSIS.md,2026-01-02,462,clean,- اتبع Clean Architecture (3 layers),Claim only — requires implementation/test evidence before verification
.kiro/docs/i18n/developer-guide.md,2026-01-02,66,complete,- **`check_completeness.sh`**: للتحقق من أن جميع ملفات اللغة تحتوي على جميع المفاتيح الموجودة في الملف الأساسي (Template).,Claim only — requires implementation/test evidence before verification
.kiro/docs/plans/KIRO_WORKFLOW_TESTING_PLAN.md,2025-12-10,264,مكتمل,- [ ] جميع الاختبارات مكتملة,Claim only — requires implementation/test evidence before verification
.kiro/docs/plans/SCRIPTS_TESTING_PLAN.md,2025-12-10,6,مكتمل,**الحالة:** ✅ مكتمل,Claim only — requires implementation/test evidence before verification
.kiro/docs/plans/SCRIPTS_TESTING_PLAN.md,2025-12-10,14,100%,- تطبيق المبادئ الخمسة بنسبة 100%,Claim only — requires implementation/test evidence before verification
.kiro/docs/plans/SCRIPTS_TESTING_PLAN.md,2025-12-10,287,final,└── SCRIPTS_TESTING_FINAL_SUMMARY.md,Claim only — requires implementation/test evidence before verification
.kiro/docs/plans/git/GIT_MANAGEMENT_PLAN.md,2025-12-29,67,clean,**المجموعة الثانية (7-10):** 7. Git Cleanup Script للصيانة الدورية 8. Hooks Manager لإدارة مركزية 9. Rollback Plan شامل للتراجع الآمن 10. Documentation Guide كامل,Claim only — requires implementation/test evidence before verification
.kiro/docs/plans/git/GIT_MANAGEMENT_PLAN.md,2025-12-29,359,100%,"| **الإجمالي** | 1,947 | 100% | - |",Claim only — requires implementation/test evidence before verification
.kiro/docs/plans/git/GIT_MANAGEMENT_PLAN.md,2025-12-29,778,pass,"""password""",Claim only — requires implementation/test evidence before verification
.kiro/docs/plans/git/GIT_MANAGEMENT_PLAN.md,2025-12-29,797,pass,"echo ""✅ All pre-commit checks passed!""",Claim only — requires implementation/test evidence before verification
.kiro/docs/plans/git/GIT_MANAGEMENT_PLAN.md,2025-12-29,1054,complete,"- Complete spec ready for implementation""",Claim only — requires implementation/test evidence before verification
.kiro/docs/plans/git/GIT_MANAGEMENT_PLAN.md,2025-12-29,1083,clean,- Detailed cleanup and prevention strategy,Claim only — requires implementation/test evidence before verification
.kiro/docs/plans/git/GIT_MANAGEMENT_PLAN.md,2025-12-29,1085,complete,"- Complete workflow documentation""",Claim only — requires implementation/test evidence before verification
.kiro/docs/plans/git/GIT_MANAGEMENT_PLAN.md,2025-12-29,1094,clean,"# يجب أن يكون الناتج: ""nothing to commit, working tree clean""",Claim only — requires implementation/test evidence before verification
.kiro/docs/plans/git/GIT_MANAGEMENT_PLAN.md,2025-12-29,1188,clean,- Automated cleanup,Claim only — requires implementation/test evidence before verification
.kiro/docs/plans/git/GIT_MANAGEMENT_PLAN.md,2025-12-29,1222,pass,#### مقياس #4: CI/CD Pass Rate,Claim only — requires implementation/test evidence before verification
.kiro/docs/plans/git/GIT_MANAGEMENT_PLAN.md,2025-12-29,1319,100%,"| **Generated Files** | 1,821 | 0 | -100% |",Claim only — requires implementation/test evidence before verification
.kiro/docs/plans/git/GIT_MANAGEMENT_PLAN.md,2025-12-29,1320,100%,| **Build Artifacts** | 65 | 0 | -100% |,Claim only — requires implementation/test evidence before verification
.kiro/docs/plans/git/GIT_MANAGEMENT_PLAN.md,2025-12-29,1321,100%,| **Test Results** | 7 | 0 | -100% |,Claim only — requires implementation/test evidence before verification
.kiro/docs/plans/git/GIT_MANAGEMENT_PLAN.md,2025-12-29,1323,100%,| **Repository Health** | 🔴 سيء | ✅ ممتاز | +100% |,Claim only — requires implementation/test evidence before verification
.kiro/docs/plans/git/GIT_MANAGEMENT_PLAN.md,2025-12-29,1493,pass,"echo ""✅ All pre-commit hooks tests passed!""",Claim only — requires implementation/test evidence before verification
.kiro/docs/plans/git/GIT_MANAGEMENT_PLAN.md,2025-12-29,1518,pass,"echo ""✅ All .gitignore tests passed!""",Claim only — requires implementation/test evidence before verification
.kiro/docs/plans/git/GIT_MANAGEMENT_PLAN.md,2025-12-29,1549,pass,"echo ""✅ Pre-commit hooks: All tests passed""",Claim only — requires implementation/test evidence before verification
.kiro/docs/plans/git/GIT_MANAGEMENT_PLAN.md,2025-12-29,1550,pass,"echo ""✅ .gitignore: All tests passed""",Claim only — requires implementation/test evidence before verification
.kiro/docs/plans/git/GIT_MANAGEMENT_PLAN.md,2025-12-29,1554,complete; completed,"echo ""🎉 All solution tests completed successfully!""",Claim only — requires implementation/test evidence before verification
.kiro/docs/plans/git/GIT_MANAGEMENT_PLAN.md,2025-12-29,1907,clean,### � التحسين #7: إضافة Git Cleanup Script,Claim only — requires implementation/test evidence before verification
.kiro/docs/plans/git/GIT_MANAGEMENT_PLAN.md,2025-12-29,1915,clean,# .kiro/scripts/maintenance/git-cleanup.sh,Claim only — requires implementation/test evidence before verification
.kiro/docs/plans/git/GIT_MANAGEMENT_PLAN.md,2025-12-29,1916,clean,# Git Repository Cleanup Script,Claim only — requires implementation/test evidence before verification
.kiro/docs/plans/git/GIT_MANAGEMENT_PLAN.md,2025-12-29,1920,clean,"echo ""🧹 Git Repository Cleanup""",Claim only — requires implementation/test evidence before verification
.kiro/docs/plans/git/GIT_MANAGEMENT_PLAN.md,2025-12-29,1927,clean,"echo ""🗑️ Cleaning up merged branches...""",Claim only — requires implementation/test evidence before verification
.kiro/docs/plans/git/GIT_MANAGEMENT_PLAN.md,2025-12-29,1933,clean,"echo ""⚠️ Remote branches cleanup requires manual confirmation""",Claim only — requires implementation/test evidence before verification
.kiro/docs/plans/git/GIT_MANAGEMENT_PLAN.md,2025-12-29,1938,clean,"echo ""✅ Local merged branches cleaned""",Claim only — requires implementation/test evidence before verification
.kiro/docs/plans/git/GIT_MANAGEMENT_PLAN.md,2025-12-29,1944,clean,"echo ""🗑️ Cleaning up reflog...""",Claim only — requires implementation/test evidence before verification
.kiro/docs/plans/git/GIT_MANAGEMENT_PLAN.md,2025-12-29,1949,clean,"echo ""✅ Reflog cleaned""",Claim only — requires implementation/test evidence before verification
.kiro/docs/plans/git/GIT_MANAGEMENT_PLAN.md,2025-12-29,1960,complete; completed,"echo ""✅ Garbage collection completed""",Claim only — requires implementation/test evidence before verification
.kiro/docs/plans/git/GIT_MANAGEMENT_PLAN.md,2025-12-29,1977,clean,"echo ""📊 Repository size after cleanup:""",Claim only — requires implementation/test evidence before verification
.kiro/docs/plans/git/GIT_MANAGEMENT_PLAN.md,2025-12-29,1981,complete; completed; clean,"echo ""🎉 Cleanup completed successfully!""",Claim only — requires implementation/test evidence before verification
.kiro/docs/plans/git/GIT_MANAGEMENT_PLAN.md,2025-12-29,1988,clean,bash .kiro/scripts/maintenance/git-cleanup.sh,Claim only — requires implementation/test evidence before verification
.kiro/docs/plans/git/GIT_MANAGEMENT_PLAN.md,2025-12-29,1991,clean,# 0 2 1 * * cd /path/to/project && bash .kiro/scripts/maintenance/git-cleanup.sh,Claim only — requires implementation/test evidence before verification
.kiro/docs/plans/git/GIT_MANAGEMENT_PLAN.md,2025-12-29,2222,complete; completed,"echo ""✅ Restore completed""",Claim only — requires implementation/test evidence before verification
.kiro/docs/plans/git/GIT_MANAGEMENT_PLAN.md,2025-12-29,2230,clean,"echo ""🔄 Rolling back Phase 1 (Cleanup)...""",Claim only — requires implementation/test evidence before verification
.kiro/docs/plans/git/GIT_MANAGEMENT_PLAN.md,2025-12-29,2403,clean,### 3. Git Cleanup,Claim only — requires implementation/test evidence before verification
.kiro/docs/plans/git/GIT_MANAGEMENT_PLAN.md,2025-12-29,2405,clean,**الموقع:** `.kiro/scripts/maintenance/git-cleanup.sh`,Claim only — requires implementation/test evidence before verification
.kiro/docs/plans/git/GIT_MANAGEMENT_PLAN.md,2025-12-29,2413,clean,bash .kiro/scripts/maintenance/git-cleanup.sh,Claim only — requires implementation/test evidence before verification
